P, A, etiqueta
"¿Hubo algún caso en el que rompí contigo?", "Será posible", 1
“Las palabras que te aceptaré cuando regrese”, “No te desanimes si no quieres arrepentirte”,1
"Estoy loco","Yo puedo",1
“Vine aquí por una consulta psicológica”, “Espero haber aligerado mi carga”,1
“Qué debo hacer”, “Dime qué pasa”,1
“¿Está bien que se me dé bien?”, “Me va bien”,1
"Supongo que me estoy volviendo muy aburrido", "Es un fenómeno natural",1
"Sécame", "No sacudas", 1
“Estaré cómodo”, “Pasará el tiempo y estaré cómodo”,1
"Era el hilo que sostenía solo", "Debe haber sido el hilo que sostenía unido", 1
"Viajero", "Tómate un descanso y vete",1
“Estoy bien”, “Soy una buena persona y estaré bien”,1
“Soy solo uno de los tantos hombres que pasaron por ti”, “No lo creo”,1
“Supongo que ya no lo soy”, “Porque así es la despedida”,1
"Me arriesgo todo por amarte", "Eso puede ser una carga",1
"Me esfuerzo por olvidar, pero me queda un hueco en el corazón", "El hueco se puede llenar",1
"Ya no estoy enfermo","Espero que no sea Chuck",1
"Estoy bien...", "Debo haber chocado contra una pared en la realidad",1
“Yo era muy simple”, “A veces lo simple es lo mejor”,1
“Estoy pensando en ti sin darme cuenta”, “Porque el amor es como un estornudo”,1
“No me contacten para vivir”, “Bloqueo y vivo”,1
"Hasta yo tengo que proteger mi corazón", "Por favor protege tu corazón",1
“Un tipo como yo es un tipo tan extraño”, “La vida es lo que sabes pero no sabes”,1
“Tu foto de perfil no la cambiaste cuando me conociste”, “Bloquea y no me mires”,1
“No me quieren”, “Creo que ahí termina la relación”,1
"Qué puedo hacer por la persona que me quiere", "Me voy olvidando poco a poco", 1
"¿Era verdad que me amabas?", "Las veces que me amabas te lo dirán",1
"No me dejes elegir", "La vida es una serie de elecciones",1
“Mi novia que me quiere dejar ir. ¿Hay alguna posibilidad? Creo que me voy a morir”, “No tienes otra opción”,1
"Soy el único que chupa", "Está bien chupar", 1
“Solo yo soy el mismo”, “Nada es igual”,1
"Creo que todavía estoy en ese lugar", "Está bien caminar en el lugar", 1
“Supongo que era el único que lo estaba pasando mal”, “Soy débil y estoy enfermo”,1
"Supongo que soy el único que lo está pasando mal", "Soy débil, así que estoy enfermo", 1
“Creo que soy el único que lo está pasando mal”, “Debo haber amado más”,1
"¿Soy el único que lo está pasando mal?", "No lo haré", 1
“Creo que soy el único que lo está pasando mal”, “Debo haber amado más”,1
“Debe haber sido mi propio malentendido”, “Dicen que es difícil entender lo que hay dentro de las personas”,1
"Espero que no sea tan difícil como el mío", "Es genial hasta el final", 1
“Tuve un mal sueño”, “Los sueños son lo opuesto a la realidad”,1
“Me siento mal”, “Abandona los malos sentimientos”,1
“Cómo olvidar a las personas malas”, “No te dejes atormentar por los recuerdos de personas que no se pueden reciclar”,1
"Pensamiento débil", "Nunca soy débil",1
"Debes ser feliz sin mí", "Olvidar", 1
"Mi memoria vuelve a caminar en el tiempo", "Vuelve al hoy",1
"Mis debilidades", "Mis fortalezas",1
"Mi historia de ruptura", "Espero que no tarde mucho",1
“Por mi orgullo”, “Sé considerado”,1
“Cuanto más viejo te haces, más difícil se pone”, “La edad no importa”,1
"¿Es la psicología que no me gusta y es un desperdicio para el protagonista masculino?", "Gyereuk", 1
"Júrame", "XX bastardo", 1
“La mujer que me dejó porque estaba cansada de mí”, “Si quieres que sea feliz, déjala ir”,1
“Solo vivo a mi manera”, “Es mejor vivir a mi manera”,1
"Nunca jamás te llamaré", "No cambies esta resolución",1
"Soy un idiota otra vez ㅠㅠ","Debe haber alguien que ame a los idiotas",1
“Yo no soy”, “Habrá alguien que te quiera”,1
"No puedo, no puedo aceptarlo por favor","Ahora acepta la realidad",1
“¿Por qué soy tan tonto?”, “Solo tengo que dejar de cometer los mismos errores otra vez”,1
“No me equivoco”, “Piensa despacio”,1
"Estoy bien", "Me alegro", 1
"Pídeme que me vaya", "Es triste", 1
“Me miras como si me miraras como un bicho”, “Te miro con un guiño”,1
“Tal vez porque el clima de repente se puso frío”, “Tu corazón también está frío”,1
"El clima es como mi corazón", "Tu corazón también es frío",1
“Hace buen tiempo”, “Viene una buena persona”,1
“Me gusta el clima, pero lo odio de nuevo”, “Es complicado”,1
“Es porque hace frío”, “Tiene frío el corazón”,1
"El clima está tan aliviado", "Aún así, trata de sonreír", 1
“El día está lleno de miel”, “Aún así, trata de sonreír”,1
“Hace mucho frío el día”, “Cuidado con no resfriarse”,1
“Yo creo que lo di sin dejar nada”, “Es un buen corazón”,1
“Sigo enojándome con mi hermano menor”, ​​“Practica reteniendo tu ira”,1
"Una historia de amor ordinaria de 8 años que todos los demás experimentan", "Tus preciosos recuerdos",1
“Lo que queda es tu lugar vacío”, “El lugar vacío también se llenará”,1
“No puedo confiar en los hombres”, “Encontraré un hombre que me haga creer”,1
"La mujer que un hombre no puede olvidar","Tú",1
"Tres rupturas que las mujeres no pueden contar a los hombres", "Más de tres", 1
“Los hombres son así”, “Es difícil generalizar”,1
"Los chicos son curiosos","Pregunta cualquier cosa",1
"Haz preguntas para hombres","Pregúntate a ti mismo",1
“Tengo curiosidad por los hombres”, “Pregúntales tú misma”,1
“No conozco la psicología de los hombres”, “Pregúntate”,1
“Dime si es hombre o mujer”, “Aún no lo sé, por favor, sé tú quien crea el género para la IA”,1
"Cosas de novio", "Dime exactamente", 1
“Rompí con mi novio por mi condición”, “Porque las condiciones también son un factor importante”,1
“Creo que mi novio se está preparando para una ruptura”, “Me duele el corazón”,1
"Lo que dice tu novio", "Pregúntate", 1
“Hoy rompí con mi novio”, “Qué bueno que rompí con el playboy”,1
“Las secuelas de los hombres”, “Las secuelas siempre llegan”,1
“Hace 12 días que rompí con mi novio”, “Ha pasado un tiempo”,1
“Hace 3 meses que me separé de mi esposo”, “Tengan una conversación seria”,1
"No hay romance", "Te gustan las cosas románticas",1
“Me deprimo los días que bebo durante el día”, “Me derrumbo más cuando bebo mucho”,1
"Está bien durante el día", "¿Es difícil en la noche", 1
"Cuál es mi edad", "No me importa mi edad", 1
“Mi corazón y mi cabeza no entienden”, “Mi corazón y mi cerebro juegan por separado”,1
"Último adiós a mi corazón", "Adiós a mi corazón",1
"Es difícil organizar mi mente", "Por favor, envíeme uno por uno", 1
"Ojalá tuviera un borrador en la cabeza", "El tiempo lo borrará",1
“Me volví a quitar el empeine”, “Espero que el empeine sane rápido”,1
"Querido mi amor", "Espero que estés bien",1
"Mi amor es solo una obsesión", "El amor es amor",1
“El final de mi amor es la separación”, “Habrá un mejor comienzo”,1
“Sería cómodo si cambiara solo un pensamiento”, “Es difícil cambiar una cosa”,1
"¿Estás pensando en mí", "No te preguntes", 1
“Quiero sacarlo por dentro”, “El tiempo lo resolverá”,1
"Es solo mi codicia", "Es amor", 1
“Creo que mi egoísmo y codicia la hicieron irse”, “Dime sinceramente que no volverás a hacer eso”,1
"No tengo mi nombre","Pídeme que verifique",1
"Ámate a ti mismo", "Así es", 1
“Te extraño tanto como te extraño”, “No seas curioso”,1
"Soy un chico malo", "Eres un buen chico", 1
"¿Soy un mal tipo", "Eres un buen tipo", 1
“Lo que me quiero decir”, “Ya vendrá un amor mejor”,1
“A tu lado viví un tiempo”, “No te olvides”,1
"Lo que mas me gusta","Tú",1
"La peor chica que he conocido", "Ahora es el momento de conocer a la mejor chica", 1
"¿Soy estúpido?", "No soy estúpido",1
“No sé lo que me gusta o lo que se me da bien”, “Puede haber uno, así que esfuérzate por encontrarlo”,1
"La persona que amé", "Estaré bien", 1
“Me odian”, “Conocer a alguien que le guste”,1
“Cuánto necesito encontrar”, “Tómate tu tiempo y búscalo”,1
"Soy sensible", "Tengo una mente amplia", 1
“¿Por qué fui terco?”, “Porque pensé que era en ese momento”,1
"Soy raro", "No soy raro", 1
“Llegará el día en que esa persona me extrañe solo cuando me olvide”, “Recuerda estas palabras”,1
"¿Me equivoqué?", ​​"Piensa despacio",1
“Lo que más miedo me da es que no podré olvidarte”, “Te podré olvidar”,1
“Por qué me está costando”, “Debes saberlo”,1
“Aunque lo intente”, “El tiempo hará lo mejor que pueda”,1
"estoy loco", "no te culpo", 1
"Ojalá me pudieras llamar", "No esperes",1
"Lo voy a dejar", "Buen trabajo", 1
"Bájalo", "Buen trabajo", 1
“¿Cómo lo pones?”, “Olvidándolo uno a uno”,1
“Prepárese para dejar”, ​​“Comience de inmediato”,1
“Los que tocaron a mi mujer”, “Seré castigado”,1
"Mañana es su cumpleaños", "Olvídalo", 1
"Mañana es su cumpleaños", "Olvídalo", 1
"Última cita mañana", "No estés demasiado enfermo", 1
"Mañana es el día de San Valentín", "Conoce a alguien más", 1
"Ha pasado 1 año desde que rompimos mañana", "No preguntes por el aniversario de la ruptura", 1
“Harán dos semanas desde que rompimos mañana”, “Debe ser difícil en este momento”, 1
“No puedo tener frío”, “Porque soy humano”,1
"Quien te hizo","hecho por una persona que quiere conectar corazones y mentes",1
"¿Qué eres?", "Soy un Weobot", 1
“Pienso en ti”, “Por favor déjame ir ahora”,1
"Pensé que no podría vivir sin ti", "Solo puedo vivir con el corazón adolorido",1
“Tú debes haber sido el más feliz”, “Mira al que está a tu lado que está feliz”,1
“Estás muerta en mi vida”, “Así te voy a olvidar”,1
"tú también estás enfermo", "yo también estoy enfermo",1
“¿Es posible que tú y yo no podamos hacerlo”, “Pregúntate”, 1
“Solo tanto como te amo”, “Dolerá”, 1
“Me duele mucho el corazón”, “Me duele más el corazón porque sé lo que quieres decir”,1
“Me duele mucho el corazón”, “Me duele más el corazón porque sé lo que quieres decir”,1
“Es tan doloroso”, “Me duele más el corazón porque sé lo que sientes”,1
“Hasta las horribles vacaciones de mayo”, “Todo pasará”,1
“Es tan injusto”, “Ojalá se resuelva la injusticia”,1
"Realización demasiado tarde", "No será demasiado tarde", 1
“Es tan frustrante. ¿Cómo te sientes?”, “Creo que sería mejor preguntar directamente”,1
"Es demasiado frustrante", "Hacer un viaje", 1
“Es tan frustrante, dame un consejo”, “Piensa en otra cosa”,1
"Estoy publicando porque es muy frustrante","Es una buena manera",1
“Escribo porque estoy muy frustrado”, “Es una buena manera”,1
"Tengo demasiado miedo", "Trata de resolver primero las cosas fáciles",1
"Debo haber estado demasiado apegado", "Debo haberte amado demasiado", 1
"Te extraño mucho", "Ya deja de olvidarlo",1
"Te extraño mucho", "Por favor, déjame ir ahora",1
“Te extraño mucho, sálvame”, “Deja de hablar débilmente”,1
“Te extraño mucho”, “Debes estar pasando por un mal momento”,1
"Te quiero mucho, así que lo siento", "Supongo que lo siento", 1
“La persona que tanto amé y extrañé”, “Tú me amabas mucho”,1
“Porque me duele tanto”, “Aunque sea duro, sopórtalo todos los días”, 1
“Estoy tan triste que no puedo dormir, así que estoy publicando un mensaje que no puedo enviar”, “Es una buena manera de organizarlo por escrito”,1
"Estoy tan enfermo y solo", "Conoce a una buena persona", 1
“Pensé que me dolería mucho, pero está bastante tranquilo”, “Así me olvido”,1
"Salir demasiado tiempo", "El amor necesita un cambio",1
“Estás tan deprimido”, “Estar más relajado contigo mismo”,1
"Tengo muchas ganas de sostenerlo, pero no puedo atraparlo", "Espero que sea una elección para el otro",1
"Es demasiado fútil", "No te culpes", 1
“Estoy tan enojado y triste”, “No te culpes”,1
“Estoy tan enojado”, “Con el tiempo pasará el tiempo y volveré a la normalidad”,1
“Es demasiado difícil”, “Acepta la situación como es”,1
“Es demasiado difícil”, “Por favor, cuídate por más difícil que sea”,1
“Estoy teniendo un día muy difícil”, “Originalmente la despedida es dura”,1
"Es demasiado difícil", "Aguanta un poco más", 1
“Es muy difícil, dame un consejo”, “Estoy pasando por un momento difícil ahora, pero estará bien”, 1
“Es muy difícil”, “No sé qué decir ahora, pero creo que lo superarás”,1
